,WordForm,LemmaCase,Frequency,Cues,Outcomes
25,yivot,yivot_nom_Sg,991,"('#y', 'yi', 'iv', 'vo', 'ot', 't#')","('yivot', 'nom', 'Sg')"
26,yivota,yivot_gen_Sg,1004,"('#y', 'yi', 'iv', 'vo', 'ot', 'ta', 'a#')","('yivot', 'gen', 'Sg')"
27,yivotu,yivot_dat_Sg,100,"('#y', 'yi', 'iv', 'vo', 'ot', 'tu', 'u#')","('yivot', 'dat', 'Sg')"
28,yivot,yivot_acc_Sg,799,"('#y', 'yi', 'iv', 'vo', 'ot', 't#')","('yivot', 'acc', 'Sg')"
29,yivotom,yivot_ins_Sg,142,"('#y', 'yi', 'iv', 'vo', 'ot', 'to', 'om', 'm#')","('yivot', 'ins', 'Sg')"
30,yivotu,yivot_loc_Sg,248,"('#y', 'yi', 'iv', 'vo', 'ot', 'tu', 'u#')","('yivot', 'loc', 'Sg')"
31,yivoti,yivot_nom_Pl,22,"('#y', 'yi', 'iv', 'vo', 'ot', 'ti', 'i#')","('yivot', 'nom', 'Pl')"
32,yivota,yivot_gen_Pl,30,"('#y', 'yi', 'iv', 'vo', 'ot', 'ta', 'a#')","('yivot', 'gen', 'Pl')"
33,yivotima,yivot_dat_Pl,3,"('#y', 'yi', 'iv', 'vo', 'ot', 'ti', 'im', 'ma', 'a#')","('yivot', 'dat', 'Pl')"
34,yivote,yivot_acc_Pl,52,"('#y', 'yi', 'iv', 'vo', 'ot', 'te', 'e#')","('yivot', 'acc', 'Pl')"
35,yivotima,yivot_ins_Pl,5,"('#y', 'yi', 'iv', 'vo', 'ot', 'ti', 'im', 'ma', 'a#')","('yivot', 'ins', 'Pl')"
36,yivotima,yivot_loc_Pl,2,"('#y', 'yi', 'iv', 'vo', 'ot', 'ti', 'im', 'ma', 'a#')","('yivot', 'loc', 'Pl')"
37,{etwa,{etwa_nom_Sg,33,"('#{', '{e', 'et', 'tw', 'wa', 'a#')","('{etwa', 'nom', 'Sg')"
38,{etwe,{etwa_gen_Sg,10,"('#{', '{e', 'et', 'tw', 'we', 'e#')","('{etwa', 'gen', 'Sg')"
39,{etwi,{etwa_dat_Sg,1,"('#{', '{e', 'et', 'tw', 'wi', 'i#')","('{etwa', 'dat', 'Sg')"
40,{etwu,{etwa_acc_Sg,29,"('#{', '{e', 'et', 'tw', 'wu', 'u#')","('{etwa', 'acc', 'Sg')"
41,{etwom,{etwa_ins_Sg,5,"('#{', '{e', 'et', 'tw', 'wo', 'om', 'm#')","('{etwa', 'ins', 'Sg')"
42,{etwi,{etwa_loc_Sg,12,"('#{', '{e', 'et', 'tw', 'wi', 'i#')","('{etwa', 'loc', 'Sg')"
43,{etwe,{etwa_nom_Pl,6,"('#{', '{e', 'et', 'tw', 'we', 'e#')","('{etwa', 'nom', 'Pl')"
44,{etwi,{etwa_gen_Pl,5,"('#{', '{e', 'et', 'tw', 'wi', 'i#')","('{etwa', 'gen', 'Pl')"
45,{etwama,{etwa_dat_Pl,1,"('#{', '{e', 'et', 'tw', 'wa', 'am', 'ma', 'a#')","('{etwa', 'dat', 'Pl')"
46,{etwe,{etwa_acc_Pl,11,"('#{', '{e', 'et', 'tw', 'we', 'e#')","('{etwa', 'acc', 'Pl')"
47,{etwama,{etwa_ins_Pl,2,"('#{', '{e', 'et', 'tw', 'wa', 'am', 'ma', 'a#')","('{etwa', 'ins', 'Pl')"
48,{etwama,{etwa_loc_Pl,2,"('#{', '{e', 'et', 'tw', 'wa', 'am', 'ma', 'a#')","('{etwa', 'loc', 'Pl')"
49,{irina,{irina_nom_Sg,16,"('#{', '{i', 'ir', 'ri', 'in', 'na', 'a#')","('{irina', 'nom', 'Sg')"
50,{irine,{irina_gen_Sg,28,"('#{', '{i', 'ir', 'ri', 'in', 'ne', 'e#')","('{irina', 'gen', 'Sg')"
51,{irini,{irina_dat_Sg,3,"('#{', '{i', 'ir', 'ri', 'in', 'ni', 'i#')","('{irina', 'dat', 'Sg')"
52,{irinu,{irina_acc_Sg,17,"('#{', '{i', 'ir', 'ri', 'in', 'nu', 'u#')","('{irina', 'acc', 'Sg')"
53,{irinom,{irina_ins_Sg,20,"('#{', '{i', 'ir', 'ri', 'in', 'no', 'om', 'm#')","('{irina', 'ins', 'Sg')"
54,{irini,{irina_loc_Sg,17,"('#{', '{i', 'ir', 'ri', 'in', 'ni', 'i#')","('{irina', 'loc', 'Sg')"
55,{irine,{irina_nom_Pl,11,"('#{', '{i', 'ir', 'ri', 'in', 'ne', 'e#')","('{irina', 'nom', 'Pl')"
56,{irina,{irina_gen_Pl,12,"('#{', '{i', 'ir', 'ri', 'in', 'na', 'a#')","('{irina', 'gen', 'Pl')"
57,{irinama,{irina_dat_Pl,2,"('#{', '{i', 'ir', 'ri', 'in', 'na', 'am', 'ma', 'a#')","('{irina', 'dat', 'Pl')"
58,{irine,{irina_acc_Pl,23,"('#{', '{i', 'ir', 'ri', 'in', 'ne', 'e#')","('{irina', 'acc', 'Pl')"
59,{irinama,{irina_ins_Pl,2,"('#{', '{i', 'ir', 'ri', 'in', 'na', 'am', 'ma', 'a#')","('{irina', 'ins', 'Pl')"
60,{irinama,{irina_loc_Pl,3,"('#{', '{i', 'ir', 'ri', 'in', 'na', 'am', 'ma', 'a#')","('{irina', 'loc', 'Pl')"
61,{kola,{kola_nom_Sg,124,"('#{', '{k', 'ko', 'ol', 'la', 'a#')","('{kola', 'nom', 'Sg')"
62,{kole,{kola_gen_Sg,231,"('#{', '{k', 'ko', 'ol', 'le', 'e#')","('{kola', 'gen', 'Sg')"
63,{koli,{kola_dat_Sg,4,"('#{', '{k', 'ko', 'ol', 'li', 'i#')","('{kola', 'dat', 'Sg')"
64,{kolu,{kola_acc_Sg,106,"('#{', '{k', 'ko', 'ol', 'lu', 'u#')","('{kola', 'acc', 'Sg')"
65,{kolom,{kola_ins_Sg,25,"('#{', '{k', 'ko', 'ol', 'lo', 'om', 'm#')","('{kola', 'ins', 'Sg')"
66,{koli,{kola_loc_Sg,76,"('#{', '{k', 'ko', 'ol', 'li', 'i#')","('{kola', 'loc', 'Sg')"
67,{kole,{kola_nom_Pl,47,"('#{', '{k', 'ko', 'ol', 'le', 'e#')","('{kola', 'nom', 'Pl')"
68,{kola,{kola_gen_Pl,124,"('#{', '{k', 'ko', 'ol', 'la', 'a#')","('{kola', 'gen', 'Pl')"
69,{kolama,{kola_dat_Pl,2,"('#{', '{k', 'ko', 'ol', 'la', 'am', 'ma', 'a#')","('{kola', 'dat', 'Pl')"
70,{kole,{kola_acc_Pl,62,"('#{', '{k', 'ko', 'ol', 'le', 'e#')","('{kola', 'acc', 'Pl')"
71,{kolama,{kola_ins_Pl,8,"('#{', '{k', 'ko', 'ol', 'la', 'am', 'ma', 'a#')","('{kola', 'ins', 'Pl')"
72,{kolama,{kola_loc_Pl,75,"('#{', '{k', 'ko', 'ol', 'la', 'am', 'ma', 'a#')","('{kola', 'loc', 'Pl')"
73,{uma,{uma_nom_Sg,230,"('#{', '{u', 'um', 'ma', 'a#')","('{uma', 'nom', 'Sg')"
74,{ume,{uma_gen_Sg,177,"('#{', '{u', 'um', 'me', 'e#')","('{uma', 'gen', 'Sg')"
75,{umi,{uma_dat_Sg,14,"('#{', '{u', 'um', 'mi', 'i#')","('{uma', 'dat', 'Sg')"
76,{umu,{uma_acc_Sg,146,"('#{', '{u', 'um', 'mu', 'u#')","('{uma', 'acc', 'Sg')"
77,{umom,{uma_ins_Sg,76,"('#{', '{u', 'um', 'mo', 'om', 'm#')","('{uma', 'ins', 'Sg')"
78,{umi,{uma_loc_Sg,140,"('#{', '{u', 'um', 'mi', 'i#')","('{uma', 'loc', 'Sg')"
79,{ume,{uma_nom_Pl,148,"('#{', '{u', 'um', 'me', 'e#')","('{uma', 'nom', 'Pl')"
80,{uma,{uma_gen_Pl,176,"('#{', '{u', 'um', 'ma', 'a#')","('{uma', 'gen', 'Pl')"
81,{umama,{uma_dat_Pl,6,"('#{', '{u', 'um', 'ma', 'am', 'ma', 'a#')","('{uma', 'dat', 'Pl')"
82,{ume,{uma_acc_Pl,113,"('#{', '{u', 'um', 'me', 'e#')","('{uma', 'acc', 'Pl')"
83,{umama,{uma_ins_Pl,17,"('#{', '{u', 'um', 'ma', 'am', 'ma', 'a#')","('{uma', 'ins', 'Pl')"
84,{umama,{uma_loc_Pl,23,"('#{', '{u', 'um', 'ma', 'am', 'ma', 'a#')","('{uma', 'loc', 'Pl')"
85,~amac,~amac_nom_Sg,28,"('#~', '~a', 'am', 'ma', 'ac', 'c#')","('~amac', 'nom', 'Sg')"
86,~amca,~amac_gen_Sg,14,"('#~', '~a', 'am', 'mc', 'ca', 'a#')","('~amac', 'gen', 'Sg')"
87,~amcu,~amac_dat_Sg,3,"('#~', '~a', 'am', 'mc', 'cu', 'u#')","('~amac', 'dat', 'Sg')"
88,~amac,~amac_acc_Sg,34,"('#~', '~a', 'am', 'ma', 'ac', 'c#')","('~amac', 'acc', 'Sg')"
89,~amcem,~amac_ins_Sg,11,"('#~', '~a', 'am', 'mc', 'ce', 'em', 'm#')","('~amac', 'ins', 'Sg')"
90,~amcu,~amac_loc_Sg,18,"('#~', '~a', 'am', 'mc', 'cu', 'u#')","('~amac', 'loc', 'Sg')"
91,~amci,~amac_nom_Pl,17,"('#~', '~a', 'am', 'mc', 'ci', 'i#')","('~amac', 'nom', 'Pl')"
92,~amaca,~amac_gen_Pl,13,"('#~', '~a', 'am', 'ma', 'ac', 'ca', 'a#')","('~amac', 'gen', 'Pl')"
93,~amcima,~amac_dat_Pl,1,"('#~', '~a', 'am', 'mc', 'ci', 'im', 'ma', 'a#')","('~amac', 'dat', 'Pl')"
94,~amce,~amac_acc_Pl,4,"('#~', '~a', 'am', 'mc', 'ce', 'e#')","('~amac', 'acc', 'Pl')"
95,~amcima,~amac_ins_Pl,3,"('#~', '~a', 'am', 'mc', 'ci', 'im', 'ma', 'a#')","('~amac', 'ins', 'Pl')"
96,~amcima,~amac_loc_Pl,2,"('#~', '~a', 'am', 'mc', 'ci', 'im', 'ma', 'a#')","('~amac', 'loc', 'Pl')"
97,~eywa,~eywa_nom_Sg,118,"('#~', '~e', 'ey', 'yw', 'wa', 'a#')","('~eywa', 'nom', 'Sg')"
98,~eywe,~eywa_gen_Sg,77,"('#~', '~e', 'ey', 'yw', 'we', 'e#')","('~eywa', 'gen', 'Sg')"
99,~eywi,~eywa_dat_Sg,5,"('#~', '~e', 'ey', 'yw', 'wi', 'i#')","('~eywa', 'dat', 'Sg')"
100,~eywu,~eywa_acc_Sg,40,"('#~', '~e', 'ey', 'yw', 'wu', 'u#')","('~eywa', 'acc', 'Sg')"
101,~eywom,~eywa_ins_Sg,43,"('#~', '~e', 'ey', 'yw', 'wo', 'om', 'm#')","('~eywa', 'ins', 'Sg')"
102,~eywi,~eywa_loc_Sg,16,"('#~', '~e', 'ey', 'yw', 'wi', 'i#')","('~eywa', 'loc', 'Sg')"
103,~eywe,~eywa_nom_Pl,52,"('#~', '~e', 'ey', 'yw', 'we', 'e#')","('~eywa', 'nom', 'Pl')"
104,~eywa,~eywa_gen_Pl,18,"('#~', '~e', 'ey', 'yw', 'wa', 'a#')","('~eywa', 'gen', 'Pl')"
105,~eywama,~eywa_dat_Pl,1,"('#~', '~e', 'ey', 'yw', 'wa', 'am', 'ma', 'a#')","('~eywa', 'dat', 'Pl')"
106,~eywe,~eywa_acc_Pl,30,"('#~', '~e', 'ey', 'yw', 'we', 'e#')","('~eywa', 'acc', 'Pl')"
107,~eywama,~eywa_ins_Pl,4,"('#~', '~e', 'ey', 'yw', 'wa', 'am', 'ma', 'a#')","('~eywa', 'ins', 'Pl')"
108,~eywama,~eywa_loc_Pl,3,"('#~', '~e', 'ey', 'yw', 'wa', 'am', 'ma', 'a#')","('~eywa', 'loc', 'Pl')"
109,~elo,~elo_nom_Sg,69,"('#~', '~e', 'el', 'lo', 'o#')","('~elo', 'nom', 'Sg')"
110,~ela,~elo_gen_Sg,148,"('#~', '~e', 'el', 'la', 'a#')","('~elo', 'gen', 'Sg')"
111,~elu,~elo_dat_Sg,4,"('#~', '~e', 'el', 'lu', 'u#')","('~elo', 'dat', 'Sg')"
112,~elo,~elo_acc_Sg,159,"('#~', '~e', 'el', 'lo', 'o#')","('~elo', 'acc', 'Sg')"
113,~elom,~elo_ins_Sg,75,"('#~', '~e', 'el', 'lo', 'om', 'm#')","('~elo', 'ins', 'Sg')"
114,~elu,~elo_loc_Sg,158,"('#~', '~e', 'el', 'lu', 'u#')","('~elo', 'loc', 'Sg')"
115,~ela,~elo_nom_Pl,10,"('#~', '~e', 'el', 'la', 'a#')","('~elo', 'nom', 'Pl')"
116,~ela,~elo_gen_Pl,1,"('#~', '~e', 'el', 'la', 'a#')","('~elo', 'gen', 'Pl')"
117,~elima,~elo_dat_Pl,1,"('#~', '~e', 'el', 'li', 'im', 'ma', 'a#')","('~elo', 'dat', 'Pl')"
118,~ela,~elo_acc_Pl,19,"('#~', '~e', 'el', 'la', 'a#')","('~elo', 'acc', 'Pl')"
119,~elima,~elo_ins_Pl,2,"('#~', '~e', 'el', 'li', 'im', 'ma', 'a#')","('~elo', 'ins', 'Pl')"
120,~elima,~elo_loc_Pl,2,"('#~', '~e', 'el', 'li', 'im', 'ma', 'a#')","('~elo', 'loc', 'Pl')"
121,~iwenica,~iwenica_nom_Sg,74,"('#~', '~i', 'iw', 'we', 'en', 'ni', 'ic', 'ca', 'a#')","('~iwenica', 'nom', 'Sg')"
122,~iwenice,~iwenica_gen_Sg,11,"('#~', '~i', 'iw', 'we', 'en', 'ni', 'ic', 'ce', 'e#')","('~iwenica', 'gen', 'Sg')"
123,~iwenici,~iwenica_dat_Sg,2,"('#~', '~i', 'iw', 'we', 'en', 'ni', 'ic', 'ci', 'i#')","('~iwenica', 'dat', 'Sg')"
124,~iwenicu,~iwenica_acc_Sg,24,"('#~', '~i', 'iw', 'we', 'en', 'ni', 'ic', 'cu', 'u#')","('~iwenica', 'acc', 'Sg')"
125,~iwenicom,~iwenica_ins_Sg,5,"('#~', '~i', 'iw', 'we', 'en', 'ni', 'ic', 'co', 'om', 'm#')","('~iwenica', 'ins', 'Sg')"
126,~iwenici,~iwenica_loc_Sg,9,"('#~', '~i', 'iw', 'we', 'en', 'ni', 'ic', 'ci', 'i#')","('~iwenica', 'loc', 'Sg')"
127,~iwenice,~iwenica_nom_Pl,19,"('#~', '~i', 'iw', 'we', 'en', 'ni', 'ic', 'ce', 'e#')","('~iwenica', 'nom', 'Pl')"
128,~iwenica,~iwenica_gen_Pl,15,"('#~', '~i', 'iw', 'we', 'en', 'ni', 'ic', 'ca', 'a#')","('~iwenica', 'gen', 'Pl')"
129,~iwenicama,~iwenica_dat_Pl,1,"('#~', '~i', 'iw', 'we', 'en', 'ni', 'ic', 'ca', 'am', 'ma', 'a#')","('~iwenica', 'dat', 'Pl')"
130,~iwenice,~iwenica_acc_Pl,10,"('#~', '~i', 'iw', 'we', 'en', 'ni', 'ic', 'ce', 'e#')","('~iwenica', 'acc', 'Pl')"
131,~iwenicama,~iwenica_ins_Pl,7,"('#~', '~i', 'iw', 'we', 'en', 'ni', 'ic', 'ca', 'am', 'ma', 'a#')","('~iwenica', 'ins', 'Pl')"
132,~iwenicama,~iwenica_loc_Pl,3,"('#~', '~i', 'iw', 'we', 'en', 'ni', 'ic', 'ca', 'am', 'ma', 'a#')","('~iwenica', 'loc', 'Pl')"
133,~lan,~lan_nom_Sg,239,"('#~', '~l', 'la', 'an', 'n#')","('~lan', 'nom', 'Sg')"
134,~lana,~lan_gen_Sg,96,"('#~', '~l', 'la', 'an', 'na', 'a#')","('~lan', 'gen', 'Sg')"
135,~lanu,~lan_dat_Sg,15,"('#~', '~l', 'la', 'an', 'nu', 'u#')","('~lan', 'dat', 'Sg')"
136,~lana,~lan_acc_Sg,12,"('#~', '~l', 'la', 'an', 'na', 'a#')","('~lan', 'acc', 'Sg')"
137,~lanom,~lan_ins_Sg,11,"('#~', '~l', 'la', 'an', 'no', 'om', 'm#')","('~lan', 'ins', 'Sg')"
138,~lanu,~lan_loc_Sg,25,"('#~', '~l', 'la', 'an', 'nu', 'u#')","('~lan', 'loc', 'Sg')"
139,~lanovi,~lan_nom_Pl,248,"('#~', '~l', 'la', 'an', 'no', 'ov', 'vi', 'i#')","('~lan', 'nom', 'Pl')"
140,~lanova,~lan_gen_Pl,265,"('#~', '~l', 'la', 'an', 'no', 'ov', 'va', 'a#')","('~lan', 'gen', 'Pl')"
141,~lanovima,~lan_dat_Pl,36,"('#~', '~l', 'la', 'an', 'no', 'ov', 'vi', 'im', 'ma', 'a#')","('~lan', 'dat', 'Pl')"
142,~lanove,~lan_acc_Pl,81,"('#~', '~l', 'la', 'an', 'no', 'ov', 've', 'e#')","('~lan', 'acc', 'Pl')"
143,~lanovima,~lan_ins_Pl,30,"('#~', '~l', 'la', 'an', 'no', 'ov', 'vi', 'im', 'ma', 'a#')","('~lan', 'ins', 'Pl')"
144,~lanovima,~lan_loc_Pl,4,"('#~', '~l', 'la', 'an', 'no', 'ov', 'vi', 'im', 'ma', 'a#')","('~lan', 'loc', 'Pl')"
145,~ovek,~ovek_nom_Sg,968,"('#~', '~o', 'ov', 've', 'ek', 'k#')","('~ovek', 'nom', 'Sg')"
146,~oveka,~ovek_gen_Sg,359,"('#~', '~o', 'ov', 've', 'ek', 'ka', 'a#')","('~ovek', 'gen', 'Sg')"
147,~oveku,~ovek_dat_Sg,109,"('#~', '~o', 'ov', 've', 'ek', 'ku', 'u#')","('~ovek', 'dat', 'Sg')"
148,~oveka,~ovek_acc_Sg,206,"('#~', '~o', 'ov', 've', 'ek', 'ka', 'a#')","('~ovek', 'acc', 'Sg')"
149,~ovekom,~ovek_ins_Sg,36,"('#~', '~o', 'ov', 've', 'ek', 'ko', 'om', 'm#')","('~ovek', 'ins', 'Sg')"
150,~oveku,~ovek_loc_Sg,53,"('#~', '~o', 'ov', 've', 'ek', 'ku', 'u#')","('~ovek', 'loc', 'Sg')"
151,qudi,~ovek_nom_Pl,975,"('#q', 'qu', 'ud', 'di', 'i#')","('~ovek', 'nom', 'Pl')"
152,qudi,~ovek_gen_Pl,525,"('#q', 'qu', 'ud', 'di', 'i#')","('~ovek', 'gen', 'Pl')"
153,qudiima,~ovek_dat_Pl,124,"('#q', 'qu', 'ud', 'di', 'ii', 'im', 'ma', 'a#')","('~ovek', 'dat', 'Pl')"
154,qude,~ovek_acc_Pl,403,"('#q', 'qu', 'ud', 'de', 'e#')","('~ovek', 'acc', 'Pl')"
155,qudima,~ovek_ins_Pl,71,"('#q', 'qu', 'ud', 'di', 'im', 'ma', 'a#')","('~ovek', 'ins', 'Pl')"
156,qudima,~ovek_loc_Pl,26,"('#q', 'qu', 'ud', 'di', 'im', 'ma', 'a#')","('~ovek', 'loc', 'Pl')"
157,akademija,akademija_nom_Sg,30,"('#a', 'ak', 'ka', 'ad', 'de', 'em', 'mi', 'ij', 'ja', 'a#')","('akademija', 'nom', 'Sg')"
158,akademije,akademija_gen_Sg,43,"('#a', 'ak', 'ka', 'ad', 'de', 'em', 'mi', 'ij', 'je', 'e#')","('akademija', 'gen', 'Sg')"
159,akademiji,akademija_dat_Sg,2,"('#a', 'ak', 'ka', 'ad', 'de', 'em', 'mi', 'ij', 'ji', 'i#')","('akademija', 'dat', 'Sg')"
160,akademiju,akademija_acc_Sg,15,"('#a', 'ak', 'ka', 'ad', 'de', 'em', 'mi', 'ij', 'ju', 'u#')","('akademija', 'acc', 'Sg')"
161,akademijom,akademija_ins_Sg,10,"('#a', 'ak', 'ka', 'ad', 'de', 'em', 'mi', 'ij', 'jo', 'om', 'm#')","('akademija', 'ins', 'Sg')"
162,akademiji,akademija_loc_Sg,7,"('#a', 'ak', 'ka', 'ad', 'de', 'em', 'mi', 'ij', 'ji', 'i#')","('akademija', 'loc', 'Sg')"
163,akademije,akademija_nom_Pl,2,"('#a', 'ak', 'ka', 'ad', 'de', 'em', 'mi', 'ij', 'je', 'e#')","('akademija', 'nom', 'Pl')"
164,akademija,akademija_gen_Pl,9,"('#a', 'ak', 'ka', 'ad', 'de', 'em', 'mi', 'ij', 'ja', 'a#')","('akademija', 'gen', 'Pl')"
165,akademijama,akademija_dat_Pl,1,"('#a', 'ak', 'ka', 'ad', 'de', 'em', 'mi', 'ij', 'ja', 'am', 'ma', 'a#')","('akademija', 'dat', 'Pl')"
166,akademije,akademija_acc_Pl,2,"('#a', 'ak', 'ka', 'ad', 'de', 'em', 'mi', 'ij', 'je', 'e#')","('akademija', 'acc', 'Pl')"
167,akademijama,akademija_ins_Pl,1,"('#a', 'ak', 'ka', 'ad', 'de', 'em', 'mi', 'ij', 'ja', 'am', 'ma', 'a#')","('akademija', 'ins', 'Pl')"
168,akademijama,akademija_loc_Pl,1,"('#a', 'ak', 'ka', 'ad', 'de', 'em', 'mi', 'ij', 'ja', 'am', 'ma', 'a#')","('akademija', 'loc', 'Pl')"
169,aparat,aparat_nom_Sg,24,"('#a', 'ap', 'pa', 'ar', 'ra', 'at', 't#')","('aparat', 'nom', 'Sg')"
170,aparata,aparat_gen_Sg,26,"('#a', 'ap', 'pa', 'ar', 'ra', 'at', 'ta', 'a#')","('aparat', 'gen', 'Sg')"
171,aparatu,aparat_dat_Sg,2,"('#a', 'ap', 'pa', 'ar', 'ra', 'at', 'tu', 'u#')","('aparat', 'dat', 'Sg')"
172,aparat,aparat_acc_Sg,27,"('#a', 'ap', 'pa', 'ar', 'ra', 'at', 't#')","('aparat', 'acc', 'Sg')"
173,aparatom,aparat_ins_Sg,9,"('#a', 'ap', 'pa', 'ar', 'ra', 'at', 'to', 'om', 'm#')","('aparat', 'ins', 'Sg')"
174,aparatu,aparat_loc_Sg,12,"('#a', 'ap', 'pa', 'ar', 'ra', 'at', 'tu', 'u#')","('aparat', 'loc', 'Sg')"
175,aparati,aparat_nom_Pl,3,"('#a', 'ap', 'pa', 'ar', 'ra', 'at', 'ti', 'i#')","('aparat', 'nom', 'Pl')"
176,aparata,aparat_gen_Pl,24,"('#a', 'ap', 'pa', 'ar', 'ra', 'at', 'ta', 'a#')","('aparat', 'gen', 'Pl')"
177,aparatima,aparat_dat_Pl,1,"('#a', 'ap', 'pa', 'ar', 'ra', 'at', 'ti', 'im', 'ma', 'a#')","('aparat', 'dat', 'Pl')"
178,aparate,aparat_acc_Pl,12,"('#a', 'ap', 'pa', 'ar', 'ra', 'at', 'te', 'e#')","('aparat', 'acc', 'Pl')"
179,aparatima,aparat_ins_Pl,2,"('#a', 'ap', 'pa', 'ar', 'ra', 'at', 'ti', 'im', 'ma', 'a#')","('aparat', 'ins', 'Pl')"
180,aparatima,aparat_loc_Pl,2,"('#a', 'ap', 'pa', 'ar', 'ra', 'at', 'ti', 'im', 'ma', 'a#')","('aparat', 'loc', 'Pl')"
181,bitka,bitka_nom_Sg,39,"('#b', 'bi', 'it', 'tk', 'ka', 'a#')","('bitka', 'nom', 'Sg')"
182,bitke,bitka_gen_Sg,39,"('#b', 'bi', 'it', 'tk', 'ke', 'e#')","('bitka', 'gen', 'Sg')"
183,bici,bitka_dat_Sg,2,"('#b', 'bi', 'ic', 'ci', 'i#')","('bitka', 'dat', 'Sg')"
184,bitku,bitka_acc_Sg,24,"('#b', 'bi', 'it', 'tk', 'ku', 'u#')","('bitka', 'acc', 'Sg')"
185,bitkom,bitka_ins_Sg,6,"('#b', 'bi', 'it', 'tk', 'ko', 'om', 'm#')","('bitka', 'ins', 'Sg')"
186,bici,bitka_loc_Sg,27,"('#b', 'bi', 'ic', 'ci', 'i#')","('bitka', 'loc', 'Sg')"
187,bitke,bitka_nom_Pl,19,"('#b', 'bi', 'it', 'tk', 'ke', 'e#')","('bitka', 'nom', 'Pl')"
188,bitaka,bitka_gen_Pl,16,"('#b', 'bi', 'it', 'ta', 'ak', 'ka', 'a#')","('bitka', 'gen', 'Pl')"
189,bitkama,bitka_dat_Pl,1,"('#b', 'bi', 'it', 'tk', 'ka', 'am', 'ma', 'a#')","('bitka', 'dat', 'Pl')"
190,bitke,bitka_acc_Pl,26,"('#b', 'bi', 'it', 'tk', 'ke', 'e#')","('bitka', 'acc', 'Pl')"
191,bitkama,bitka_ins_Pl,2,"('#b', 'bi', 'it', 'tk', 'ka', 'am', 'ma', 'a#')","('bitka', 'ins', 'Pl')"
192,bitkama,bitka_loc_Pl,10,"('#b', 'bi', 'it', 'tk', 'ka', 'am', 'ma', 'a#')","('bitka', 'loc', 'Pl')"
193,bog,bog_nom_Sg,152,"('#b', 'bo', 'og', 'g#')","('bog', 'nom', 'Sg')"
